Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-256,If Email Address or Password are not entered correctly then the system shall display an ?ncorrect Email Address or Password?error message.,Login,Unwanted behaviour,"If Email Address or Password are not entered correctly, then the system shall display an ?ncorrect Email Address or Password?error message.",,ubiquitous,"If Email Address or Password are not entered correctly, then the system shall display an ?ncorrect Email Address or Password?error message.",,,
PR-256,The system shall allow the administrator and faculty member to login by clicking on ?ogin?Button.,Login,Ubiquitous,The system shall allow the administrator and faculty member to login by clicking on ?ogin?Button.,,ubiquitous,The system shall allow the administrator and faculty member to login by clicking on ?ogin?Button.,,,
PR-256,The system shall allow only allow the administrator to create new account.,Login,Ubiquitous,The system shall allow only allow the administrator to create new account.,,ubiquitous,The system shall allow only allow the administrator to create new account.,,,
PR-256,The system shall display confirmation message to delete the department and delete it after confirmation from administrator.,Delete Department,Event-driven,"When the administrator confirm, then the system shall display confirmation message to delete the department and delete it.",,ubiquitous,"When the administrator confirm, then the system shall display confirmation message to delete the department and delete it.",,,
PR-256,The system shall allow the administrator to view the program list.,Edit/Update Program,Ubiquitous,The system shall allow the administrator to view the program list.,,ubiquitous,The system shall allow the administrator to view the program list.,,,
PR-256,The system shall allow the administrator to delete program by clicking on ?elete?button.,Delete Program,Ubiquitous,The system shall allow the administrator to delete program by clicking on ?elete?button.,,ubiquitous,The system shall allow the administrator to delete program by clicking on ?elete?button.,,,
PR-256,The system shall allow the administrator to delete course by clicking on ?elete Course?button.,Delete Course,Ubiquitous,The system shall allow the administrator to delete course by clicking on ?elete Course?button.,,ubiquitous,"while the administrator loggedin,The system shall allow the administrator to delete course by clicking on ?elete Course?button.",,,
PR-256,The system shall display confirmation message to delete the course and delete it after confirmation from administrator.,Delete Course,Event-driven,"When the administrator confirm, then the system shall display confirmation message to delete the course and delete it.",,ubiquitous,"When the administrator confirm, then the system shall display confirmation message to delete the course and delete it.",,,
PR-256,The system shall display confirmation message to delete the student and delete it after confirmation from administrator.,Delete Student,Event-driven,"When the administrator confirm, then the system shall display confirmation message to delete the student and delete it.",,ubiquitous,"When the administrator confirm, then the system shall display confirmation message to delete the student and delete it.",,,
PR-256,The system shall display confirmation message to delete the assign course and delete it after confirmation from administrator.,Delete Assign Course,Event-driven,"When the administrator confirm, then the system shall display confirmation message to delete the assign course and delete it.",,ubiquitous,"When the administrator confirm, then the system shall display confirmation message to delete the assign course and delete it.",,,
PR-256,The system shall display confirmation message to delete the assessment and delete it after confirmation from administrator.,Delete Assessment,Event-driven,"When the administrator confirm, then the system shall display confirmation message to delete the assessment and delete it.",,ubiquitous,"When the administrator confirm, then the system shall display confirmation message to delete the assessment and delete it.",,,
PR-258,Student can search by keywords,Search,Ubiquitous,The system shall enable student to search by keywords,,ubiquitous,The system shall enable student to search by keywords,,,
PR-258,Student can login through UNIQUE Id and Password.,Login/Logout,Ubiquitous,The system shall enable student to login through UNIQUE Id and Password.,,ubiquitous,The system shall enable student to login through UNIQUE Id and Password.,,,
PR-258,System check the information from DB if User information exist the login successfully .otherwise the show error message.,Login/Logout,Ubiquitous,"The system shall check the information from DB, when User information exist the login will be successful .",,ubiquitous,"The system shall check the information from DB, when User information exist the login will be successful .",,,
PR-258,Supervisor can also give the feedback when group submitted task.,Assign Task,Ubiquitous,The system shall allow Supervisor to give the feedback when group submitted task.,,ubiquitous,The system shall allow Supervisor to give the feedback when group submitted task.,,,
PR-258,Supervisor can also cancel meeting.,Schedule Meetings,Ubiquitous,The system shall allow Supervisor to cancel meeting.,,ubiquitous,The system shall allow Supervisor to cancel meeting.,,,
PR-258,By Entering the Username and password user can login.,Login/logout,Ubiquitous,The system shall allow user to login by Entering the Username and password.,,ubiquitous,The system shall allow user to login by Entering the Username and password.,,,
PR-258,System check the information from DB if User information exist the login successfully .otherwise the show error message.,Login/logout,Ubiquitous,"The system shall check the information from DB, when User information exist the login will be successful .",,ubiquitous,"The system shall check the information from DB, when User information exist the login will be successful .",,,
PR-258,Faculty can give feedback.,Feedback,Ubiquitous,The system shall allow Faculty to give feedback.,,ubiquitous,The system shall allow Faculty to give feedback.,,,
PR-258,Evaluator can click on the tab of add Grades.,Evaluate,Ubiquitous,The system shall allow Evaluator to click on the tab of add Grades.,,ubiquitous,The system shall allow Evaluator to click on the tab of add Grades.,,,
PR-258,System check the information from DB if User information exist the login successfully .otherwise the show error message.,Login/logout,Ubiquitous,"The system shall check the information from DB, when User information exist the login will be successful .",,ubiquitous,"The system shall check the information from DB, when User information exist the login will be successful .",,,
PR-258,Evaluator can click on the tab of add Feedback.,Feedback,Ubiquitous,The system shall allow Evaluator to click on the tab of add Feedback.,,ubiquitous,The system shall allow Evaluator to click on the tab of add Feedback.,,,
PR-258,"Enter the information (Name, reg_no, Phoneno, Email-address, etc) in form and Submit the Form.",Register Student/Faculty,Ubiquitous,"The system shall allow admin to Enter the information (Name, reg_no, Phoneno, Email-address, etc) in form and Submit the Form.",,ubiquitous,"The system shall allow admin to Enter the information (Name, reg_no, Phoneno, Email-address, etc) in form and Submit the Form.",,,
PR-258,Admin will enter the Group-ID and Update/Delete information of existing group.,Manage/Create groups,Ubiquitous,The system shall allow admin to enter the Group-ID and Update/Delete information of existing group.,,ubiquitous,The system shall allow admin to enter the Group-ID and Update/Delete information of existing group.,,,
PR-258,Admin can also create a new group of student click on the tab of Create-Group and enter the (Reg_No and Project id) and click on add button.,Manage/Create groups,Ubiquitous,The system shall allow admin to create a new group of student click on the tab of Create-Group and enter the (Reg_No and Project id) and click on add button.,,ubiquitous,The system shall allow admin to create a new group of student click on the tab of Create-Group and enter the (Reg_No and Project id) and click on add button.,,,
PR-258,"Admin click on this Tab and Set Deadline by Entering the (Subject,Date, Time) and click add button.",Set Deadlines,Ubiquitous,"The system shall allow admin to click on this Tab and Set Deadline by Entering the (Subject,Date, Time) and click add button.",,ubiquitous,"The system shall allow admin to click on this Tab and Set Deadline by Entering the (Subject,Date, Time) and click add button.",,,
PR-258,"System check the information from DB if User information exist the login successfully, otherwise it will show error message.",Login/Logout,Ubiquitous,"The system shall check the information from DB if User information exist the login successfully, otherwise it will show error message.",,ubiquitous,"The system shall check the information from DB if User information exist the login successfully, otherwise it will show error message.",,,
PR-259,The system will receive inputs via thermal camera. The input in this case will be the face of the rider whose image will be captured by the camera. ,Image Acquisition,Ubiquitous,The system shall receive inputs via thermal camera. The input in this case will be the face of the rider whose image will be captured by the camera. ,,ubiquitous,The system shall receive inputs via thermal camera. The input in this case will be the face of the rider whose image will be captured by the camera. ,,,
PR-259,"On the basis of images acquired by the camera, the face of the user will be detected by the system.  ",Image Acquisition,Ubiquitous,The system shall detect the face of the user On the basis of images acquired by the camera.  ,,ubiquitous,The system shall detect the face of the user On the basis of images acquired by the camera.  ,,,
PR-259,The system will help administer and operator determine the statistical efficiency using Confusion matrix.,Reports Generation,Ubiquitous,The system shall help administer and operator determine the statistical efficiency using Confusion matrix.,,ubiquitous,The system shall help administer and operator determine the statistical efficiency using Confusion matrix.,,,
PR-260,The system shall provide a registration process to user to create an account.,User Registration,Ubiquitous,The system shall provide a registration process to user to create an account.,,ubiquitous,The system shall provide a registration process to user to create an account.,,,
PR-260,"The system shall enable user to enter name, username, email, contact detail and password.",User Registration,Ubiquitous,"The system shall enable user to enter name, username, email, contact detail and password.",,ubiquitous,"The system shall enable user to enter name, username, email, contact detail and password.",,,
PR-260,"The system shall enable user/admin to enter correct email, name, username, contact and password",User Registration,Ubiquitous,"The system shall enable user/admin to enter correct email, name, username, contact and password",,ubiquitous,"The system shall enable user/admin to enter correct email, name, username, contact and password",,,
PR-260,The system shall verify account for registration via mobile verification code.,User Registration,Ubiquitous,The system shall verify account for registration via mobile verification code.,,ubiquitous,The system shall verify account for registration via mobile verification code.,,,
PR-260,The system shall enable the user to login.,User Login,Ubiquitous,The system shall enable the user to login.,,ubiquitous,The system shall enable the user to login.,,,
PR-260,The system shall enable user to enter username and password.,User Login,Ubiquitous,The system shall enable user to enter username and password.,,ubiquitous,The system shall enable user to enter username and password.,,,
PR-260,The system shall enable user to enter correct username and password.,User Login,Ubiquitous,The system shall enable user to enter correct username and password.,,ubiquitous,The system shall enable user to enter correct username and password.,,,
PR-260,The system shall verify account for login,User Login,Ubiquitous,The system shall verify account for login,,ubiquitous,The system shall verify account for login,,,
PR-260,The system shall display specific place that user will search.,Search nearby Place,Ubiquitous,The system shall display specific place that user will search.,,ubiquitous,The system shall display specific place that user will search.,,,
PR-260,The system should search the place for trip reminder.,Search nearby Place,Ubiquitous,The system should search the place for trip reminder.,,ubiquitous,The system should search the place for trip reminder.,,,
PR-260,The system shall allow user to search brands and restaurants by entering name in search bar.,Search nearby Place,Ubiquitous,The system shall allow user to search brands and restaurants by entering name in search bar.,,ubiquitous,The system shall allow user to search brands and restaurants by entering name in search bar.,,,
PR-260,The system shall enable the Brand/Restaurant Admin to login.,CPanel Login,Ubiquitous,The system shall enable the Brand/Restaurant Admin to login.,,ubiquitous,The system shall enable the Brand/Restaurant Admin to login.,,,
PR-260,The system shall enable the Brand/Restaurant Admin to enter user name.,CPanel Login,Ubiquitous,The system shall enable the Brand/Restaurant Admin to enter user name.,,ubiquitous,The system shall enable the Brand/Restaurant Admin to enter user name.,,,
PR-260,The system shall enable the Brand/Restaurant Admin to enter the password.,CPanel Login,Ubiquitous,The system shall enable the Brand/Restaurant Admin to enter the password.,,ubiquitous,The system shall enable the Brand/Restaurant Admin to enter the password.,,,
PR-260,The system shall enable the Brand/Restaurant Admin to select login as either Restaurant or Brand.,CPanel Login,Ubiquitous,The system shall enable the Brand/Restaurant Admin to select login as either Restaurant or Brand.,,ubiquitous,The system shall enable the Brand/Restaurant Admin to select login as either Restaurant or Brand.,,,
PR-260,"The system shall display name , id, price, description availability and picture of product",CPanel Remove product,Ubiquitous,"The system shall display name , id, price, description availability and picture of product",,ubiquitous,"The system shall display name , id, price, description availability and picture of product",,,
PR-260,The system shall update the database every time change occurs.,CPanel Update sale,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall update the database every time change occurs.,CPanel remove sale,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall update the database every time change occurs.,CPanel add menu,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall update the database every time change occurs.,CPanel update menu,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall update the database every time change occurs.,CPanel remove menu,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall update the database every time change occurs.,CPanel add deal,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall update the database every time change occurs.,CPanel update deal,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall display all the active deals of restaurant.,CPanel remove deal,Ubiquitous,The system shall display all the active deals of restaurant.,,ubiquitous,The system shall display all the active deals of restaurant.,,,
PR-260,The system shall update the database every time change occurs.,CPanel remove deal,Ubiquitous,The system shall update the database every time change occurs.,,ubiquitous,The system shall update the database every time change occurs.,,,
PR-260,The system shall enable the Brand/Restaurant Admin to view Feedback,CPanel View Feedback,Ubiquitous,The system shall enable the Brand/Restaurant Admin to view Feedback,,ubiquitous,The system shall enable the Brand/Restaurant Admin to view Feedback,,,
PR-260,The system shall display all the feedback given by users.,CPanel View Feedback,Ubiquitous,The system shall display all the feedback given by users.,,ubiquitous,The system shall display all the feedback given by users.,,,
PR-260,The system saves information in database.,CPanel User Registration,Ubiquitous,The system shall save information in database.,,ubiquitous,The system shall save information in database.,,,
PR-260,The system saves information in database.,CPanel Restaurant Registration,Ubiquitous,The system saves information in database.,,ubiquitous,The system saves information in database.,,,
PR-260,The system saves information in database.,CPanel Brand Registration,Ubiquitous,The system shall save information in database.,,ubiquitous,The system shall save information in database.,,,
PR-260,The system shall display list of all restaurants in system.,CPanel Remove Restaurant,Ubiquitous,The system shall display list of all restaurants in system.,,ubiquitous,The system shall display list of all restaurants in system.,,,
PR-260,The system shall display list of all Brands in system.,CPanel Remove Brand,Ubiquitous,The system shall display list of all Brands in system.,,ubiquitous,The system shall display list of all Brands in system.,,,
PR-260,The System shall update the database when admin confirm remove.,CPanel Remove Brand,Event-driven,"When admin confirm remove, then the System shall update the database.",,ubiquitous,"When admin confirm remove, then the System shall update the database.",,,
PR-260,The system shall display list of all Users in system.,CPanel Remove User,Ubiquitous,The system shall display list of all Users in system.,,ubiquitous,The system shall display list of all Users in system.,,,
PR-261,The system allows the user to login to access the services.,Login,Ubiquitous,The system shall allow the user to login to access the services.,,ubiquitous,The system shall allow the user to login to access the services.,,,
PR-261,The system allows the user to cancel his action.,Login,Ubiquitous,The system shall allow the user to cancel his action.,,ubiquitous,The system shall allow the user to cancel his action.,,,
PR-261,The system allows the user to proceed as a guest user.,Login,Ubiquitous,The system shall allow the user to proceed as a guest user.,,ubiquitous,The system shall allow the user to proceed as a guest user.,,,
PR-261,The system allows the user to sign up to by adding details.,Sign Up,Ubiquitous,The system shall allow the user to sign up to by adding details.,,ubiquitous,The system shall allow the user to sign up to by adding details.,,,
PR-261,The system allows the user to edit his/her details.,Sign Up,Ubiquitous,The system shall allow the user to edit his/her details.,,ubiquitous,The system shall allow the user to edit his/her details.,,,
PR-261,The system allows the user to choose next or forward.,Sign Up,Ubiquitous,The system shall allow the user to choose next or forward.,,ubiquitous,The system shall allow the user to choose next or forward.,,,
PR-263,The (Way to Go) system shall enable the admin/sub-domain admin/user to sign up by giving sign up details.,Update Profile,Ubiquitous,The (Way to Go) system shall enable the admin/sub-domain admin/user to sign up by giving sign up details.,,ubiquitous,The (Way to Go) system shall enable the admin/sub-domain admin/user to sign up by giving sign up details.,,,
PR-263,The system shall enable the admin/sub-domain admin/user to sign up using his email.,Update Profile,Ubiquitous,The system shall enable the admin/sub-domain admin/user to sign up using his email.,,ubiquitous,The system shall enable the admin/sub-domain admin/user to sign up using his email.,,,
PR-263,The (Way to Go) system shall enable the admin/sub-domain admin/user to log in using his email account.,Log In,Ubiquitous,The (Way to Go) system shall enable the admin/sub-domain admin/user to log in using his email account.,,ubiquitous,The (Way to Go) system shall enable the admin/sub-domain admin/user to log in using his email account.,,,
PR-263,The system shall enable admin/sub-domain admin/user to have forgot password option.,Log In,Ubiquitous,The system shall enable admin/sub-domain admin/user to have forgot password option.,,ubiquitous,The system shall enable admin/sub-domain admin/user to have forgot password option.,,,
PR-263,The system shall enable admin/sub-domain admin/user to enter his email id to get new password.,Log In,Ubiquitous,The system shall enable admin/sub-domain admin/user to enter his email id to get new password.,,ubiquitous,The system shall enable admin/sub-domain admin/user to enter his email id to get new password.,,,
PR-263,The system shall enable the user to fill request form to have sub-domain.,Assign Sub-domain,Ubiquitous,The system shall enable the user to fill request form to have sub-domain.,,ubiquitous,The system shall enable the user to fill request form to have sub-domain.,,,
PR-263,The system shall enable the user to give feedback and suggestions for a tourism company.,Feedback and Suggestions,Ubiquitous,The system shall enable the user to give feedback and suggestions for a tourism company.,,ubiquitous,The system shall enable the user to give feedback and suggestions for a tourism company.,,,
PR-263,The system shall enable the sub-domain admin to view feedback and suggestions of customers.,Feedback and Suggestions,Ubiquitous,The system shall enable the sub-domain admin to view feedback and suggestions of customers.,,ubiquitous,The system shall enable the sub-domain admin to view feedback and suggestions of customers.,,,
PR-263,The system shall enable the sub-domain admin to give reply of the feedback and suggestions of the customers to his email.,Feedback and Suggestions,Ubiquitous,The system shall enable the sub-domain admin to give reply of the feedback and suggestions of the customers to his email.,,ubiquitous,The system shall enable the sub-domain admin to give reply of the feedback and suggestions of the customers to his email.,,,
PR-263,The (Way to Go) system shall enable the user to view reply of feedback and suggestions for a tourism company.,Feedback and Suggestions,Ubiquitous,The (Way to Go) system shall enable the user to view reply of feedback and suggestions for a tourism company.,,ubiquitous,The (Way to Go) system shall enable the user to view reply of feedback and suggestions for a tourism company.,,,
PR-263,The system shall provide a link of website for hotel reservation.,Hotel Reservation,Ubiquitous,The system shall provide a link of website for hotel reservation.,,ubiquitous,The system shall provide a link of website for hotel reservation.,,,
PR-264,The system shall allow the user to create an account if he does not have one.,User Registration,Unwanted behaviour,"If the user does not have an account, then the system shall allow the user to create an account.",,ubiquitous,"If the user does not have an account, then the system shall allow the user to create an account.",,,
PR-264,The system shall allow the user to choose username and password.,User Registration,Ubiquitous,The system shall allow the user to choose username and password.,,ubiquitous,The system shall allow the user to choose username and password.,,,
PR-264,The system shall allow the user to enter license/master key to register.,User Registration,Ubiquitous,The system shall allow the user to enter license/master key to register.,,ubiquitous,The system shall allow the user to enter license/master key to register.,,,
PR-264,The system shall check if the username is already been chosen.,User Registration,Ubiquitous,The system shall check if the username is already been chosen.,,ubiquitous,The system shall check if the username is already been chosen.,,,
PR-264,The system shall add username and password to database.,User Registration,Ubiquitous,The system shall add username and password to database.,,ubiquitous,The system shall add username and password to database.,,,
PR-264,The system shall allow the user to input his username and password.,User Login,Ubiquitous,The system shall allow the user to input his username and password.,,ubiquitous,The system shall allow the user to input his username and password.,,,
PR-264,The system shall check if the username and password exist in database.,User Login,Ubiquitous,The system shall check if the username and password exist in database.,,ubiquitous,The system shall check if the username and password exist in database.,,,
PR-264,The system shall allow the user to log into his account.,User Login,Ubiquitous,The system shall allow the user to log into his account.,,ubiquitous,The system shall allow the user to log into his account.,,,
PR-264,The system shall fetch the results from the selected repository.,Fetch Search Results,Ubiquitous,The system shall fetch the results from the selected repository.,,ubiquitous,The system shall fetch the results from the selected repository.,,,
PR-264,The system shall check the search result for PDF format files.,Process Results,Ubiquitous,The system shall check the search result for PDF format files.,,ubiquitous,The system shall check the search result for PDF format files.,,,
PR-264,The system shall discard other search results.,Process Results,Ubiquitous,The system shall discard other search results.,,ubiquitous,The system shall discard other search results.,,,
PR-264,The system shall pass the related papers for further processing.,Process Results,Ubiquitous,The system shall pass the related papers for further processing.,,ubiquitous,The system shall pass the related papers for further processing.,,,
PR-264,The system shall download all the filtered PDF formatted papers into a specific folder.,Download Research Papers,Ubiquitous,The system shall download all the filtered PDF formatted papers into a specific folder.,,ubiquitous,The system shall download all the filtered PDF formatted papers into a specific folder.,,,
PR-264,The system shall allow user to choose extraction from multiple or a single document.,Choose Extraction,Ubiquitous,The system shall allow user to choose extraction from multiple or a single document.,,ubiquitous,The system shall allow user to choose extraction from multiple or a single document.,,,
PR-264,The system shall perform extraction on all downloaded research papers for on one choice.,Choose Extraction,Ubiquitous,The system shall perform extraction on all downloaded research papers for on one choice.,,ubiquitous,The system shall perform extraction on all downloaded research papers for on one choice.,,,
PR-264,The system shall the system shall perform extraction on a specific downloaded research paper for other choice.,Choose Extraction,Ubiquitous,The system shall the system shall perform extraction on a specific downloaded research paper for other choice.,,ubiquitous,The system shall the system shall perform extraction on a specific downloaded research paper for other choice.,,,
PR-264,"The system shall convert a specific or each downloaded paper into a string, based on the chosen extraction.",Extract References,Ubiquitous,"The system shall convert a specific or each downloaded paper into a string, based on the chosen extraction.",,ubiquitous,"The system shall convert a specific or each downloaded paper into a string, based on the chosen extraction.",,,
PR-264,The system shall search for the reference section in each converted string.,Extract References,Ubiquitous,The system shall search for the reference section in each converted string.,,ubiquitous,The system shall search for the reference section in each converted string.,,,
PR-264,The system shall extract the reference section and discard rest of the sections of the research paper.,Extract References,Ubiquitous,The system shall extract the reference section and discard rest of the sections of the research paper.,,ubiquitous,The system shall extract the reference section and discard rest of the sections of the research paper.,,,
PR-264,The system shall discard the strings containing the references.,Discard Reference Strings,Ubiquitous,The system shall discard the strings containing the references.,,ubiquitous,The system shall discard the strings containing the references.,,,
PR-265,The system shall grant the admin and security in charge access after verification of specified username and password.,Login,Ubiquitous,The system shall grant the admin and security in charge access after verification of specified username and password.,,ubiquitous,The system shall grant the admin and security in charge access after verification of specified username and password.,,,
PR-265,The system shall maintain a database for the credentials of all users.,Login,Ubiquitous,The system shall maintain a database for the credentials of all users.,,ubiquitous,The system shall maintain a database for the credentials of all users.,,,
PR-265,The system shall assign a unique ID to the videos uploaded in the directory.,Video Management,Ubiquitous,The system shall assign a unique ID to the videos uploaded in the directory.,,ubiquitous,The system shall assign a unique ID to the videos uploaded in the directory.,,,
PR-265,The system shall maintain a database of all the uploaded videos.,Video Management,Ubiquitous,The system shall maintain a database of all the uploaded videos.,,ubiquitous,The system shall maintain a database of all the uploaded videos.,,,
PR-265,The system shall maintain a database of anomalous videos.,Video Management,Ubiquitous,The system shall maintain a database of anomalous videos.,,ubiquitous,The system shall maintain a database of anomalous videos.,,,
PR-266,There will be two modes of Movement.,Player Movement,Ubiquitous,The system shall provide two modes of Movement.,,ubiquitous,The system shall provide two modes of Movement.,,,
PR-266,The player initially starts with full health and loses health based on enemy attack.,Health System,Ubiquitous,The system shall allow player to initially starts with full health and loses health based on enemy attack.,,ubiquitous,The system shall allow player to initially starts with full health and loses health based on enemy attack.,,,
PR-266,map will give overview of the entire map of the level.,Mini Map,Ubiquitous,The system map shall give overview of the entire map of the level.,,ubiquitous,The system map shall give overview of the entire map of the level.,,,
PR-266,it will be used for the navigation of the player and his troops throughout the level.,Mini Map,Ubiquitous,The system map shall used for the navigation of the player and his troops throughout the level.,,ubiquitous,The system map shall used for the navigation of the player and his troops throughout the level.,,,
PR-266,The Camera will always follow player in third person during movement.,Camera,Ubiquitous,The system Camera shall always follow player in third person during movement.,,ubiquitous,The system Camera shall always follow player in third person during movement.,,,
PR-266,The player will be able to control with the mouse to rotate around the character.,Camera,Ubiquitous,The system shall allow player to control with the mouse to rotate around the character.,,ubiquitous,The system shall allow player to control with the mouse to rotate around the character.,,,
PR-266,Player uses sword or shield to defend himself from enemy attacks using right mouse button and mouse movement.,Player Defence,Ubiquitous,The system shall enable Player to use sword or shield to defend himself from enemy attacks using right mouse button and mouse movement.,,ubiquitous,The system shall enable Player to use sword or shield to defend himself from enemy attacks using right mouse button and mouse movement.,,,
PR-266,Player will have top down view of the map,God? Eye View,Ubiquitous,The system shall provide Player with top down view of the map.,,ubiquitous,The system shall provide Player with top down view of the map.,,,
PR-266,Player will be able view the movement of his/her troops and also enemy? troops arrow keys.,God? Eye View,Ubiquitous,The system shall enable player to view the movement of his/her troops,,ubiquitous,The system shall enable player to view the movement of his/her troops,,,
PR-266,Player can control the movement of his/her troops through God? eye view using mouse input.,Troop Navigation,Ubiquitous,The system shall enable player to control the movement of his/her troops through God? eye view using mouse input.,,ubiquitous,The system shall enable player to control the movement of his/her troops through God? eye view using mouse input.,,,
PR-266,choose one character from available character set. With display about the special attack etc.,Character Selection,Ubiquitous,The system shall allow user to choose one character from available character set. With display about the special attack etc.,,ubiquitous,The system shall allow user to choose one character from available character set. With display about the special attack etc.,,,
PR-267,The ngo will be able to provide user name and password to create a profile,Create profile,Ubiquitous,The system shall be able to provide user name and password to create a profile,,ubiquitous,The system shall be able to provide user name and password to create a profile,,,
PR-267,The system will provide access if correct username and password is entered,Login,Event-driven,When the user enter correct username and password the system shall provide access.,,ubiquitous,When the user enter correct username and password the system shall provide access.,,,
PR-267,The user shall be able to provide user name and password to create a profile,Create profile,Ubiquitous,The system shall enable user to provide user name and password to create a profile,,ubiquitous,The system shall enable user to provide user name and password to create a profile,,,
PR-267,the user will be able to view profile of other NGOs,View profile,Ubiquitous,The system shall enable user to view profile of other NGOs,,ubiquitous,The system shall enable user to view profile of other NGOs,,,
PR-267,The user will be able to view details of his profile,View profile,Ubiquitous,The system shall enable user to view details of his profile,,ubiquitous,The system shall enable user to view details of his profile,,,
PR-267,The user will provide username and password to login,Login,Ubiquitous,The system shall allow user to provide username and password to login,,ubiquitous,The system shall allow user to provide username and password to login,,,
PR-267,The campaign details will go to admin for approval,create new campaign,Ubiquitous,The system shall send campaign details to admin for approval.,,ubiquitous,The system shall send campaign details to admin for approval.,,,
PR-267,The backer shall be able to provide user name and password to create a profile,Create profile,Ubiquitous,The system shall allow backer to provide user name and password to create a profile,,ubiquitous,The system shall allow backer to provide user name and password to create a profile,,,
PR-267,The backer will be able to edit profile details,Edit profile,Ubiquitous,The system shall allow backer to edit profile details,,ubiquitous,The system shall allow backer to edit profile details,,,
PR-267,The backer will be able to view profile of other NGOs,View profile,Ubiquitous,The system shall allow backer to view profile of other NGOs,,ubiquitous,The system shall allow backer to view profile of other NGOs,,,
PR-267,The backer will be able to view his profile,View profile,Ubiquitous,The system shall allow backer to view his profile,,ubiquitous,The system shall allow backer to view his profile,,,
PR-267,The backer will provide username and password to login,Login,Ubiquitous,The system shall allow backer to provide username and password to login,,ubiquitous,The system shall allow backer to provide username and password to login,,,
PR-268,"Admin will login through login page by providing user type(Admin), username and password.",Login,Ubiquitous,"The system shall allow admin to login through login page by providing user type(Admin), username and password.",,ubiquitous,"The system shall allow admin to login through login page by providing user type(Admin), username and password.",,,
PR-268,"System shall allow head to login. He/she user type (head), username and password to login.",Login,Ubiquitous,"The system shall allow head to login. He/she user type (head), username and password to login.",,ubiquitous,"The system shall allow head to login. He/she user type (head), username and password to login.",,,
PR-268,System shall have a logout option,Logout,Ubiquitous,The system shall have a logout option,,ubiquitous,The system shall have a logout option,,,
PR-268,"Already registered employees shall login to the system by giving their user type (Employee), username and password.",Login,Ubiquitous,"The system shall allow already registered employees to login system by giving their user type (Employee), username and password.",,ubiquitous,"The system shall allow already registered employees to login system by giving their user type (Employee), username and password.",,,
PR-268,Already registered clients shall login if not then they shall sign up first to get registered to the system,Login,Ubiquitous,"The system shall allow already registered clients to login, if not then the system shall allow them to sign up first to get registered to the system.",,ubiquitous,"The system shall allow already registered clients to login, if not then the system shall allow them to sign up first to get registered to the system.",,,
PR-268,System shall allow client to give feedback about how he/she has been treated. They shall also give suggestions through this option which would help the company to improve their working,Give feedback,Ubiquitous,The system shall allow client to give feedback about how he/she has been treated. They shall also give suggestions through this option which would help the company to improve their working,,ubiquitous,The system shall allow client to give feedback about how he/she has been treated. They shall also give suggestions through this option which would help the company to improve their working,,,
PR-269,Admin can login through website by using this functionality.,Login,Ubiquitous,The system shall allow admin to login through website by using this functionality.,,ubiquitous,The system shall allow admin to login through website by using this functionality.,,,
PR-269,Admin can sign up through website by using this functionality.,Signup,Ubiquitous,The system shall allow admin to sign up through website by using this functionality.,,ubiquitous,The system shall allow admin to sign up through website by using this functionality.,,,
PR-269,User can Login through website by using this functionality.,Login,Ubiquitous,The system shall allow user to Login through website by using this functionality.,,ubiquitous,The system shall allow user to Login through website by using this functionality.,,,
PR-269,User can sign up through website by using this functionality.,Signup,Ubiquitous,The system shall allow user to sign up through website by using this functionality.,,ubiquitous,The system shall allow user to sign up through website by using this functionality.,,,
PR-269,User can receive notification by using this functionality.,Receive Notification,Ubiquitous,The system shall allow user to receive notification by using this functionality.,,ubiquitous,The system shall allow user to receive notification by using this functionality.,,,
PR-270,The application will check in dictionary whether the word made by player is valid or not.,In-Game Methods,Ubiquitous,The system shall check in dictionary whether the word made by player is valid or not.,,ubiquitous,The system shall check in dictionary whether the word made by player is valid or not.,,,
PR-270,Any word made by a player can be challenged by other player to score points.,In-Game Methods,Ubiquitous,The system shall allow a player to challenge any word made by other player to score points.,,ubiquitous,The system shall allow a player to challenge any word made by other player to score points.,,,
PR-270,Internal game methods will handle the scores of players and all the information about them like their names and gender.,In-Game Methods,Ubiquitous,The system shall allow internal game methods to handle the scores of players and all the information about them like their names and gender.,,ubiquitous,The system shall allow internal game methods to handle the scores of players and all the information about them like their names and gender.,,,
