index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
3041,system shall sense temperature surroundings help temperature sensor.,system shall sense temperature surroundings help temperature sensor.,0,Control System,Artificial Intelligence,91,91,68,68,"[('system', 'NN'), ('shall', 'MD'), ('sense', 'VB'), ('temperature', 'NN'), ('surroundings', 'NNS'), ('help', 'VBP'), ('temperature', 'NN'), ('sensor', 'NN'), ('.', '.')]",The system shall sense help  system temperature sensor
3042,system shall pas control system relevant electronic appliance.,system shall pas control system relevant electronic appliance.,0,Control System,Artificial Intelligence,81,81,62,62,"[('system', 'NN'), ('shall', 'MD'), ('pas', 'VB'), ('control', 'NN'), ('system', 'NN'), ('relevant', 'JJ'), ('electronic', 'JJ'), ('appliance', 'NN'), ('.', '.')]",The system shall pas relevant electronic system control appliance
3043,system shall maintain data recorded temperature detection sensor,system shall maintain data recorded temperature detection sensor,0,Control System,Artificial Intelligence,75,75,64,64,"[('system', 'NN'), ('shall', 'MD'), ('maintain', 'VB'), ('data', 'NNS'), ('recorded', 'VBN'), ('temperature', 'NN'), ('detection', 'NN'), ('sensor', 'NN')]",The system shall maintain recorded  system temperature detection sensor
3044,system shall keep record analytical purpose make system efficient intelligent.,system shall keep record analytical purpose make system efficient intelligent.,0,Control System,Artificial Intelligence,103,103,78,78,"[('system', 'NN'), ('shall', 'MD'), ('keep', 'VB'), ('record', 'NN'), ('analytical', 'JJ'), ('purpose', 'RB'), ('make', 'VBP'), ('system', 'NN'), ('efficient', 'JJ'), ('intelligent', 'NN'), ('.', '.')]",The system shall keep make analytical efficient system record intelligent
3045,system shall maintain record analytical purpose learn pattern routine human shall help automation system.,system shall maintain record analytical purpose learn pattern routine human shall help automation system.,0,Control System,Artificial Intelligence,145,145,105,105,"[('system', 'NN'), ('shall', 'MD'), ('maintain', 'VB'), ('record', 'NN'), ('analytical', 'JJ'), ('purpose', 'NN'), ('learn', 'NN'), ('pattern', 'JJ'), ('routine', 'JJ'), ('human', 'NN'), ('shall', 'MD'), ('help', 'VB'), ('automation', 'NN'), ('system', 'NN'), ('.', '.')]",The system shall maintain help analytical pattern routine system record purpose learn human automation
3046,system shall maintain record sensor respect timer.,system shall maintain record sensor respect timer.,0,Control System,Artificial Intelligence,74,74,50,50,"[('system', 'NN'), ('shall', 'MD'), ('maintain', 'VB'), ('record', 'NN'), ('sensor', 'NN'), ('respect', 'NN'), ('timer', 'NN'), ('.', '.')]",The system shall maintain  system record sensor respect timer
3047,system shall maintain record human body detector sensor temperature sensor help timer record duration usage.,system shall maintain record human body detector sensor temperature sensor help timer record duration usage.,0,Control System,Artificial Intelligence,160,160,108,108,"[('system', 'NN'), ('shall', 'MD'), ('maintain', 'VB'), ('record', 'NN'), ('human', 'NN'), ('body', 'NN'), ('detector', 'NN'), ('sensor', 'JJ'), ('temperature', 'NN'), ('sensor', 'NN'), ('help', 'NN'), ('timer', 'NN'), ('record', 'NN'), ('duration', 'NN'), ('usage', 'NN'), ('.', '.')]",The system shall maintain sensor system record human body detector temperature sensor help timer duration usage
3048,"system shall control electronic appliance i.e tube light, fan air conditioner help sensors.","system shall control electronic appliance i.e tube light, fan air conditioner help sensors.",0,Control System,Artificial Intelligence,121,121,91,91,"[('system', 'NN'), ('shall', 'MD'), ('control', 'VB'), ('electronic', 'JJ'), ('appliance', 'NN'), ('i.e', 'NN'), ('tube', 'NN'), ('light', 'NN'), (',', ','), ('fan', 'NN'), ('air', 'NN'), ('conditioner', 'NN'), ('help', 'NN'), ('sensors', 'NNS'), ('.', '.')]",The system shall control electronic system appliance i.e tube light fan air conditioner help
3049,system shall allow traffic police officer click ?on? account?to register his/herself.,system shall allow traffic police officer click ?on? account?to register his/herself.,0,Vehicles,Mobile app,107,107,85,85,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('click', 'NN'), ('?', '.'), ('on', 'IN'), ('?', '.'), ('account', 'NN'), ('?', '.'), ('to', 'TO'), ('register', 'VB'), ('his/herself', 'PRP'), ('.', '.')]",The system shall allow register  system traffic police officer click account
3050,system shall allow traffic police officer enter his/her name sign up.,system shall allow traffic police officer enter his/her name sign up.,0,Vehicles,Mobile app,84,84,69,69,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'NN'), ('his/her', 'NN'), ('name', 'NN'), ('sign', 'VBD'), ('up', 'RP'), ('.', '.')]",The system shall allow sign  system traffic police officer enter his/her name
3051,system shall allow traffic police officer enter his/her email.,system shall allow traffic police officer enter his/her email.,0,Vehicles,Mobile app,73,73,62,62,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'NN'), ('his/her', 'PRP$'), ('email', 'NN'), ('.', '.')]",The system shall allow  system traffic police officer enter email
3052,system shall allow traffic police officer enter new password. password must contain least six characters.,system shall allow traffic police officer enter new password. password must contain least six characters.,0,Vehicles,Mobile app,123,123,105,105,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'VBP'), ('new', 'JJ'), ('password', 'NN'), ('.', '.'), ('password', 'NN'), ('must', 'MD'), ('contain', 'VB'), ('least', 'JJS'), ('six', 'CD'), ('characters', 'NNS'), ('.', '.')]",The system shall allow enter contain new system traffic police officer password
3053,system shall allow traffic police officer enter email sign in.,system shall allow traffic police officer enter email sign in.,0,Vehicles,Mobile app,76,76,62,62,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'NN'), ('email', 'VBP'), ('sign', 'NN'), ('in', 'IN'), ('.', '.')]",The system shall allow email  system traffic police officer enter sign
3054,system shall allow traffic police officer enter password.,system shall allow traffic police officer enter password.,0,Vehicles,Mobile app,72,72,57,57,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall allow  system traffic police officer enter password
3055,system shall allow traffic police office tick check box order remember login detail i.e. email password.,system shall allow traffic police office tick check box order remember login detail i.e. email password.,0,Vehicles,Mobile app,134,134,104,104,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('office', 'NN'), ('tick', 'NN'), ('check', 'NN'), ('box', 'NN'), ('order', 'NN'), ('remember', 'VB'), ('login', 'JJ'), ('detail', 'NN'), ('i.e', 'NN'), ('.', '.'), ('email', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall allow remember login system traffic police office tick check box order detail i.e email password
3056,system shall allow traffic police officer click ?ogin?button get logged go back cancel process.,system shall allow traffic police officer click ?ogin?button get logged go back cancel process.,0,Vehicles,Mobile app,122,122,95,95,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('click', 'NN'), ('?', '.'), ('ogin', 'NN'), ('?', '.'), ('button', 'NN'), ('get', 'VB'), ('logged', 'VBN'), ('go', 'VB'), ('back', 'RB'), ('cancel', 'JJ'), ('process', 'NN'), ('.', '.')]",The system shall allow get logged go cancel system traffic police officer click ogin button process
3057,system shall allow traffic police officer enter new password. password must contain least six characters.,"system shall allow traffic police officer enter new password, password shall contain least six characters.",0,Vehicles,Mobile app,123,124,105,106,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'VBP'), ('new', 'JJ'), ('password', 'NN'), ('.', '.'), ('password', 'NN'), ('must', 'MD'), ('contain', 'VB'), ('least', 'JJS'), ('six', 'CD'), ('characters', 'NNS'), ('.', '.')]",The system shall allow enter contain new system traffic police officer password
3058,system shall allow traffic police officer re-enter password confirmation.,system shall allow traffic police officer re-enter password confirmation.,0,Vehicles,Mobile app,92,92,73,73,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'JJ'), ('officer', 'NN'), ('re-enter', 'NN'), ('password', 'NN'), ('confirmation', 'NN'), ('.', '.')]",The system shall allow police system traffic officer re-enter password confirmation
3059,system shall allow traffic police officer click ok button complete process cancel button cancel process.,system shall allow traffic police officer click ok button complete process cancel button cancel process.,0,Vehicles,Mobile app,132,132,104,104,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('click', 'NN'), ('ok', 'JJ'), ('button', 'NN'), ('complete', 'JJ'), ('process', 'NN'), ('cancel', 'NN'), ('button', 'NN'), ('cancel', 'NN'), ('process', 'NN'), ('.', '.')]",The system shall allow ok complete system traffic police officer click button process cancel
3060,system shall allow traffic police officer change password clicking account option drop menu.,system shall allow traffic police officer change password clicking account option drop menu.,0,Vehicles,Mobile app,125,125,92,92,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'JJ'), ('officer', 'NN'), ('change', 'NN'), ('password', 'NN'), ('clicking', 'VBG'), ('account', 'NN'), ('option', 'NN'), ('drop', 'NN'), ('menu', 'NN'), ('.', '.')]",The system shall allow clicking police system traffic officer change password account option drop menu
3061,system shall allow traffic police officer enter his/her name.,system shall allow traffic police officer enter his/her name.,0,Vehicles,Mobile app,72,72,61,61,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'NN'), ('his/her', 'NN'), ('name', 'NN'), ('.', '.')]",The system shall allow  system traffic police officer enter his/her name
3062,system shall allow traffic police officer enter email address.,system shall allow traffic police officer enter email address.,0,Vehicles,Mobile app,77,77,62,62,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'NN'), ('email', 'NN'), ('address', 'NN'), ('.', '.')]",The system shall allow  system traffic police officer enter email address
3063,system shall allow traffic police officer click ?hange password?button order change password.,system shall allow traffic police officer click ?hange password?button order change password.,0,Vehicles,Mobile app,113,113,93,93,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('click', 'NN'), ('?', '.'), ('hange', 'NN'), ('password', 'NN'), ('?', '.'), ('button', 'NN'), ('order', 'NN'), ('change', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall allow  system traffic police officer click hange password button order change
3064,system shall allow traffic police officer enter reset code.,system shall allow traffic police officer enter reset code.,0,Vehicles,Mobile app,74,74,59,59,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'NN'), ('reset', 'NN'), ('code', 'NN'), ('.', '.')]",The system shall allow  system traffic police officer enter reset code
3065,system shall allow traffic police officer enter new password. password must contain least six characters.,"system shall allow traffic police officer enter new password, password shall contain least six characters.",0,Vehicles,Mobile app,123,124,105,106,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'VBP'), ('new', 'JJ'), ('password', 'NN'), ('.', '.'), ('password', 'NN'), ('must', 'MD'), ('contain', 'VB'), ('least', 'JJS'), ('six', 'CD'), ('characters', 'NNS'), ('.', '.')]",The system shall allow enter contain new system traffic police officer password
3066,system shall allow traffic police officer enter new password confirm password.,system shall allow traffic police officer enter new password confirm password.,0,Vehicles,Mobile app,102,102,78,78,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('enter', 'VBP'), ('new', 'JJ'), ('password', 'NN'), ('confirm', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall allow enter new system traffic police officer password confirm
3067,system shall allow traffic police officer click save button save new password cancel button cancel process.,system shall allow traffic police officer click save button save new password cancel button cancel process.,0,Vehicles,Mobile app,135,135,107,107,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('click', 'NN'), ('save', 'VBP'), ('button', 'VBN'), ('save', 'VBP'), ('new', 'JJ'), ('password', 'NN'), ('cancel', 'NN'), ('button', 'NN'), ('cancel', 'NN'), ('process', 'NN'), ('.', '.')]",The system shall allow save button new system traffic police officer click password cancel button process
3068,system shall allow traffic police officer access website printing purposes.,system shall allow traffic police officer access website printing purposes.,0,Vehicles,Mobile app,94,94,75,75,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('access', 'NN'), ('website', 'JJ'), ('printing', 'NN'), ('purposes', 'NNS'), ('.', '.')]",The system shall allow website system traffic police officer access printing
3069,system shall allow traffic police officer print already generated qr code website. qr code store information vehicle owner along cnic number.,system shall allow traffic police officer print already generated qr code website. qr code store information vehicle owner along cnic number.,0,Vehicles,Mobile app,202,202,141,141,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'NN'), ('officer', 'NN'), ('print', 'NN'), ('already', 'RB'), ('generated', 'VBD'), ('qr', 'JJ'), ('code', 'NN'), ('website', 'NN'), ('.', '.'), ('qr', 'JJ'), ('code', 'NN'), ('store', 'NN'), ('information', 'NN'), ('vehicle', 'NN'), ('owner', 'NN'), ('along', 'IN'), ('cnic', 'JJ'), ('number', 'NN'), ('.', '.')]",The system shall allow generated qr cnic system traffic police officer print code website store information vehicle owner number
3070,system shall allow traffic police officer view table data entry containing vehicle owner details.,system shall allow traffic police officer view table data entry containing vehicle owner details.,0,Vehicles,Mobile app,125,125,97,97,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'JJ'), ('officer', 'NN'), ('view', 'NN'), ('table', 'JJ'), ('data', 'NNS'), ('entry', 'NN'), ('containing', 'VBG'), ('vehicle', 'NN'), ('owner', 'NN'), ('details', 'NNS'), ('.', '.')]",The system shall allow containing police table system traffic officer view entry vehicle owner
3071,system shall allow traffic police officer view graph comparison among different data website.,system shall allow traffic police officer view graph comparison among different data website.,0,Vehicles,Mobile app,111,111,93,93,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('traffic', 'NN'), ('police', 'JJ'), ('officer', 'NN'), ('view', 'NN'), ('graph', 'VBP'), ('comparison', 'NN'), ('among', 'IN'), ('different', 'JJ'), ('data', 'NNS'), ('website', 'NN'), ('.', '.')]",The system shall allow graph police different system traffic officer view comparison website
3072,system shall enable seller/buyer enter account information system.,system shall enable seller/buyer enter account information system.,0,Online Service,Web development,80,80,66,66,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('seller/buyer', 'NN'), ('enter', 'NN'), ('account', 'NN'), ('information', 'NN'), ('system', 'NN'), ('.', '.')]",The system shall enable  system seller/buyer enter account information
3073,"system shall verify seller/buyer account information particularly email-id, password bank account number.","system shall verify seller/buyer account information particularly email-id, password bank account number.",0,Online Service,Web development,117,117,105,105,"[('system', 'NN'), ('shall', 'MD'), ('verify', 'VB'), ('seller/buyer', 'NN'), ('account', 'NN'), ('information', 'NN'), ('particularly', 'RB'), ('email-id', 'NN'), (',', ','), ('password', 'JJ'), ('bank', 'NN'), ('account', 'NN'), ('number', 'NN'), ('.', '.')]",The system shall verify password system seller/buyer account information email-id bank number
3074,system shall enable seller/buyer update account information.,system shall enable seller/buyer update account information.,0,Online Service,Web development,75,75,60,60,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('seller/buyer', 'JJ'), ('update', 'JJ'), ('account', 'NN'), ('information', 'NN'), ('.', '.')]",The system shall enable seller/buyer update system account information
3075,system shall verify seller/buyer login id password.,system shall verify seller/buyer login id password.,0,Online Service,Web development,63,63,51,51,"[('system', 'NN'), ('shall', 'MD'), ('verify', 'VB'), ('seller/buyer', 'NN'), ('login', 'NN'), ('id', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall verify  system seller/buyer login id password
3076,system shall allow buyer/seller forgot password option.,system shall allow buyer/seller forgot password option.,0,Online Service,Web development,67,67,55,55,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('buyer/seller', 'NN'), ('forgot', 'NN'), ('password', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall allow  system buyer/seller forgot password option
3077,system shall enable admin view live bidding.,system shall enable admin view live bidding.,0,Online Service,Web development,59,59,44,44,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('view', 'NN'), ('live', 'JJ'), ('bidding', 'NN'), ('.', '.')]",The system shall enable admin live system view bidding
3078,system shall allow communication seller buyer winning.,system shall allow communication seller buyer winning.,0,Online Service,Web development,80,80,54,54,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('communication', 'NN'), ('seller', 'NN'), ('buyer', 'NN'), ('winning', 'VBG'), ('.', '.')]",The system shall allow winning  system communication seller buyer
3079,system shall allow admin assign tender buyer authorization seller.,system shall allow admin assign tender buyer authorization seller.,0,Online Service,Web development,99,99,66,66,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('admin', 'NN'), ('assign', 'JJ'), ('tender', 'NN'), ('buyer', 'NN'), ('authorization', 'NN'), ('seller', 'NN'), ('.', '.')]",The system shall allow assign system admin tender buyer authorization seller
3080,system shall display remaining time bids.,system shall display remaining time bids.,0,Online Service,Web development,53,53,41,41,"[('system', 'NN'), ('shall', 'MD'), ('display', 'VB'), ('remaining', 'VBG'), ('time', 'NN'), ('bids', 'NNS'), ('.', '.')]",The system shall display remaining  system time
3081,system shall automatically close bidding time.,system shall automatically close bidding time.,0,Online Service,Web development,53,53,46,46,"[('system', 'NN'), ('shall', 'MD'), ('automatically', 'RB'), ('close', 'VB'), ('bidding', 'NN'), ('time', 'NN'), ('.', '.')]",The system shall close  system bidding time
3082,system shall ask analyst enter his/her username verify whether type user exit agent? community.,system shall ask analyst enter his/her username verify whether type user exit agent? community.,0,Medical,Artificial Intelligence,126,126,95,95,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('analyst', 'NN'), ('enter', 'NN'), ('his/her', 'PRP'), ('username', 'JJ'), ('verify', 'FW'), ('whether', 'IN'), ('type', 'NN'), ('user', 'NN'), ('exit', 'NN'), ('agent', 'NN'), ('?', '.'), ('community', 'NN'), ('.', '.')]",The system shall ask username system analyst enter type user exit agent community
3083,user enter invalid password system shall display error message ask user re-enter password.,"user enter invalid password, system shall display error message ask user re-enter password.",0,Medical,Artificial Intelligence,128,131,90,91,"[('user', 'RB'), ('enter', 'NN'), ('invalid', 'JJ'), ('password', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('display', 'VB'), ('error', 'NN'), ('message', 'NN'), ('ask', 'VB'), ('user', 'JJ'), ('re-enter', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall display ask invalid user enter password system error message re-enter
3084,"user enter invalid password numbr time consecutively, access given next numbr minutes.","user enter invalid password numbr time consecutively, system shall give access next numbr minutes.",0,Medical,Artificial Intelligence,120,131,86,98,"[('user', 'RB'), ('enter', 'NN'), ('invalid', 'JJ'), ('password', 'NN'), ('numbr', 'NN'), ('time', 'NN'), ('consecutively', 'RB'), (',', ','), ('access', 'NN'), ('given', 'VBN'), ('next', 'JJ'), ('numbr', 'NN'), ('minutes', 'NNS'), ('.', '.')]",The system shall given invalid next enter password numbr time access
3085,agent application system shall continuously keep track user activity.,agent application system shall continuously keep track user activity.,0,Medical,Artificial Intelligence,77,77,69,69,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('continuously', 'RB'), ('keep', 'VB'), ('track', 'NN'), ('user', 'NN'), ('activity', 'NN'), ('.', '.')]",The system shall keep  agent application system track user activity
3086,activity user performing getting log system shall kept draft activity.,system shall keep draft activity activity user performing getting log out.,0,Medical,Artificial Intelligence,112,106,70,74,"[('activity', 'NN'), ('user', 'NN'), ('performing', 'VBG'), ('getting', 'VBG'), ('log', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('kept', 'VB'), ('draft', 'NN'), ('activity', 'NN'), ('.', '.')]",The system shall performing getting kept  activity user log system draft
3087,system shall allow user get start activity point getting authentication.,system shall allow user get start activity point getting authentication.,0,Medical,Artificial Intelligence,105,105,72,72,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('get', 'VB'), ('start', 'JJ'), ('activity', 'NN'), ('point', 'NN'), ('getting', 'VBG'), ('authentication', 'NN'), ('.', '.')]",The system shall allow get getting start system user activity point authentication
3088,application system shall provide interface user interact agent.,system application shall provide interface user interact agent.,0,Medical,Artificial Intelligence,89,89,63,63,"[('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('interface', 'NN'), ('user', 'NN'), ('interact', 'NN'), ('agent', 'NN'), ('.', '.')]",The system shall provide  application system interface user interact agent
3089,system interface shall capable sensing user input convert user generated request appropriate form e.g. memory object.,system interface shall capable sensing user input convert user generated request appropriate form e.g. memory object.,0,Medical,Artificial Intelligence,147,147,117,117,"[('system', 'NN'), ('interface', 'NN'), ('shall', 'MD'), ('capable', 'VB'), ('sensing', 'VBG'), ('user', 'JJ'), ('input', 'NN'), ('convert', 'VBP'), ('user', 'NN'), ('generated', 'VBN'), ('request', 'NN'), ('appropriate', 'JJ'), ('form', 'NN'), ('e.g', 'NN'), ('.', '.'), ('memory', 'NN'), ('object', 'NN'), ('.', '.')]",The system shall capable sensing convert generated user appropriate system interface input user request form e.g memory object
3090,system interface shall send request language understanding codelet.,system interface shall send request language understanding codelet.,0,Medical,Artificial Intelligence,88,88,67,67,"[('system', 'NN'), ('interface', 'NN'), ('shall', 'MD'), ('send', 'VB'), ('request', 'NN'), ('language', 'NN'), ('understanding', 'JJ'), ('codelet', 'NN'), ('.', '.')]",The system shall send understanding system interface request language codelet
3091,application interface shall also use display system response analysis result user.,system application interface shall also use display system response analysis result user.,0,Medical,Artificial Intelligence,102,109,82,89,"[('application', 'NN'), ('interface', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('use', 'VB'), ('display', 'NN'), ('system', 'NN'), ('response', 'NN'), ('analysis', 'NN'), ('result', 'NN'), ('user', 'NN'), ('.', '.')]",The system shall use  application interface display system response analysis result user
3092,agent application system shall ground meaning user generated requests.,system agent application shall ground meaning user generated requests.,0,Medical,Artificial Intelligence,80,80,70,70,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('ground', 'VB'), ('meaning', 'VBG'), ('user', 'RB'), ('generated', 'VBN'), ('requests', 'NNS'), ('.', '.')]",The system shall ground meaning generated  agent application system
3093,"system shall first find action verb word referring analysis (e.g. acetylation, methylation, glycosylation etc.) find suitable relation extracted word available system functionalities.","system shall first find action verb word referring analysis (e.g. acetylation, methylation, glycosylation etc.) find suitable relation extracted word available system functionalities.",0,Medical,Artificial Intelligence,233,233,183,183,"[('system', 'NN'), ('shall', 'MD'), ('first', 'RB'), ('find', 'VB'), ('action', 'NN'), ('verb', 'NN'), ('word', 'NN'), ('referring', 'VBG'), ('analysis', 'NN'), ('(', '('), ('e.g', 'JJ'), ('.', '.'), ('acetylation', 'NN'), (',', ','), ('methylation', 'NN'), (',', ','), ('glycosylation', 'NN'), ('etc', 'FW'), ('.', '.'), (')', ')'), ('find', 'VBP'), ('suitable', 'JJ'), ('relation', 'NN'), ('extracted', 'VBD'), ('word', 'NN'), ('available', 'JJ'), ('system', 'NN'), ('functionalities', 'NNS'), ('.', '.')]",The system shall find referring extracted e.g suitable available system action verb word analysis acetylation methylation glycosylation relation
3094,system shall provide information (the relation user generated request available system functionality) perceptual codelet.,system shall provide information (the relation user generated request available system functionality) perceptual codelet.,0,Medical,Artificial Intelligence,153,153,121,121,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('information', 'NN'), ('(', '('), ('the', 'DT'), ('relation', 'NN'), ('user', 'NN'), ('generated', 'VBD'), ('request', 'NN'), ('available', 'JJ'), ('system', 'NN'), ('functionality', 'NN'), (')', ')'), ('perceptual', 'JJ'), ('codelet', 'NN'), ('.', '.')]",The system shall provide generated available perceptual system information relation user request functionality codelet
3095,agent application system shall define template containing set action carry user generated request.,system agent application shall define template containing set action carry user generated request.,0,Medical,Artificial Intelligence,117,117,98,98,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('define', 'VB'), ('template', 'NN'), ('containing', 'NN'), ('set', 'VBN'), ('action', 'NN'), ('carry', 'NN'), ('user', 'RB'), ('generated', 'VBD'), ('request', 'NN'), ('.', '.')]",The system shall define set generated  agent application system template containing action carry request
3096,system shall use relation grounded language understanding codelet function available agent define template.,system shall use relation grounded language understanding codelet function available agent define template.,0,Medical,Artificial Intelligence,149,149,107,107,"[('system', 'NN'), ('shall', 'MD'), ('use', 'VB'), ('relation', 'NN'), ('grounded', 'VBN'), ('language', 'NN'), ('understanding', 'VBG'), ('codelet', 'NN'), ('function', 'NN'), ('available', 'JJ'), ('agent', 'JJ'), ('define', 'NN'), ('template', 'NN'), ('.', '.')]",The system shall use grounded understanding available agent system relation language codelet function define template
3097,system use template design pattern generate task template provide template vision codelet.,system use template design pattern generate task template provide template vision codelet.,0,Medical,Artificial Intelligence,118,118,90,90,"[('system', 'NN'), ('use', 'NN'), ('template', 'NN'), ('design', 'NN'), ('pattern', 'JJ'), ('generate', 'NN'), ('task', 'NN'), ('template', 'NN'), ('provide', 'VBP'), ('template', 'NN'), ('vision', 'NN'), ('codelet', 'NN'), ('.', '.')]",The system shall provide pattern system use template design generate task vision codelet
3098,agent application system shall execute task defined template generated perceptual codelet.,agent application system shall execute task defined template generated perceptual codelet.,0,Medical,Artificial Intelligence,102,102,90,90,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('execute', 'VB'), ('task', 'NN'), ('defined', 'VBN'), ('template', 'RB'), ('generated', 'VBN'), ('perceptual', 'JJ'), ('codelet', 'NN'), ('.', '.')]",The system shall execute defined generated perceptual agent application system task codelet
3099,system? vision codelet make sure task defined template shall execute accordingly.,system? vision codelet shall make sure task defined template shall execute accordingly.,0,Medical,Artificial Intelligence,102,103,81,87,"[('system', 'NN'), ('?', '.'), ('vision', 'NN'), ('codelet', 'NN'), ('make', 'VBP'), ('sure', 'JJ'), ('task', 'NN'), ('defined', 'VBD'), ('template', 'JJ'), ('shall', 'MD'), ('execute', 'VB'), ('accordingly', 'RB'), ('.', '.')]",The system shall make defined execute sure template system vision codelet task
3100,system? vision codelet transfer control component depending upon task nature.,system? vision codelet shall transfer control component depending upon task nature.,0,Medical,Artificial Intelligence,98,99,77,83,"[('system', 'NN'), ('?', '.'), ('vision', 'NN'), ('codelet', 'NN'), ('transfer', 'VB'), ('control', 'NN'), ('component', 'NN'), ('depending', 'VBG'), ('upon', 'IN'), ('task', 'JJ'), ('nature', 'NN'), ('.', '.')]",The system shall transfer depending task system vision codelet control component nature
3101,system? vision codelet shall make transfer control managed ordered form.,system? vision codelet shall make transfer control managed ordered form.,0,Medical,Artificial Intelligence,92,92,72,72,"[('system', 'NN'), ('?', '.'), ('vision', 'NN'), ('codelet', 'NN'), ('shall', 'MD'), ('make', 'VB'), ('transfer', 'NN'), ('control', 'NN'), ('managed', 'VBD'), ('ordered', 'JJ'), ('form', 'NN'), ('.', '.')]",The system shall make managed ordered system vision codelet transfer control form
